PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-648,10,21-063.102,11B,,,,,,,,22-306.101,13B,,,,,,,,FALSE,FALSE
2026-647,10,20-196.101,11B,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-646,10,21-161.110,24A,,,,,,,,22-351.101,23B,,,,,,,,FALSE,FALSE
2026-645,10,22-308.103,15A - 15B,,,,,,,,22-294.101,21A,,,,,,,,FALSE,FALSE
2026-644,10,21-161.103,11B - 12B,,,,,,,,22-351.101,23B,,,,,,,,FALSE,FALSE
2026-643,10,22-348.101,23B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-642,10,20-110.102,11B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-641,10,22-370.102,21B,,,,,,,,22-292.104,21A,,,,,,,,FALSE,FALSE
2026-640,10,20-121.102,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-639,10,22-326.102,23A,,,,,,,,22-278.102,21A,,,,,,,,FALSE,FALSE
2026-638,10,22-326.102,23A,,,,,,,,22-284.102,21A,,,,,,,,FALSE,FALSE
2026-637,10,22-292.104,21A,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-636,10,21-161.103,11B - 12B,,,,,,,,22-292.104,21A,,,,,,,,FALSE,FALSE
2026-635,10,20-106.104,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-634,10,21-161.110,24A,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-633,10,21-161.103,11B - 12B,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-632,10,21-162.103,12B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-631,10,20-106.104,11B,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-630,10,21-110.105,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-629,10,20-110.102,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-628,10,_45K308,10A,,,,,,,,19-018.903,05B,,,,,,,,FALSE,FALSE
2026-627,10,_45K308,10A,,,,,,,,19-025.903,06B,,,,,,,,FALSE,FALSE
2026-626,24,18-194.001,03B,,,,,,,,17-434.902,03A,,,,,,,,FALSE,FALSE
2026-625,12,18-237.003,04B,,,,,,,,18-194.001,03B,,,,,,,,FALSE,FALSE
2026-624,24,18-237.003,04B,,,,,,,,15-228.904,01B,,,,,,,,FALSE,FALSE
2026-623,10,18-237.003,04B,,,,,,,,17-434.902,03A,,,,,,,,FALSE,FALSE
2026-622,24,18-237.003,04B,,,,,,,,17-435.901,03A,,,,,,,,FALSE,FALSE
2026-621,36,18-237.003,04B,,,,,,,,16-550.901,04A,,,,,,,,TRUE,TRUE
2026-620,24,18-386.901,06A,,,,,,,,18-323.902,04B,,,,,,,,FALSE,FALSE
2026-619,12,19-003.901,06A,,,,,,,,18-237.003,04B,,,,,,,,FALSE,FALSE
2026-618,12,19-017.901,05A,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-617,24,19-017.902,05A,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-616,10,19-018.902,05A - 05B,,,,,,,,19-027.901,06B - 08A,,,,,,,,FALSE,FALSE
2026-615,24,19-018.902,05A - 05B,,,,,,,,22-044.901,19A,,,,,,,,FALSE,FALSE
2026-614,10,19-018.903,05B,,,,,,,,19-025.903,06B,,,,,,,,FALSE,FALSE
2026-613,24,19-025.903,06B,,,,,,,,18-377.905,06A,,,,,,,,FALSE,FALSE
2026-612,24,19-027.901,06B - 08A,,,,,,,,17-435.901,03A,,,,,,,,FALSE,FALSE
2026-611,24,19-027.901,06B - 08A,,,,,,,,22-044.901,19A,,,,,,,,FALSE,FALSE
2026-610,24,19-027.901,06B - 08A,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-609,24,19-027.901,06B - 08A,,,,,,,,22-008.901,13A,,,,,,,,FALSE,FALSE
2026-608,12,19-043.902,08A,,,,,,,,19-017.901,05A,,,,,,,,FALSE,FALSE
2026-607,59,20-021.902,08A,,,,,,,,19-017.901,05A,,,,,,,,FALSE,FALSE
2026-606,24,21-284.301,14B,,,,,,,,15-216.911,01B,,,,,,,,FALSE,FALSE
2026-605,12,21-284.301,14B,,,,,,,,18-194.001,03B,,,,,,,,FALSE,FALSE
2026-604,10,21-284.301,14B,,,,,,,,17-434.902,03A,,,,,,,,FALSE,FALSE
2026-603,10,21-284.301,14B,,,,,,,,18-234.001,04B,,,,,,,,FALSE,FALSE
2026-602,59,21-284.301,14B,,,,,,,,18-344.901,04B,,,,,,,,FALSE,FALSE
2026-601,83,21-284.301,14B,,,,,,,,18-344.903,06A,,,,,,,,FALSE,FALSE
2026-600,24,21-361.901,07A,,,,,,,,16-413.901,02B,,,,,,,,FALSE,FALSE
2026-599,59,21-361.901,07A,,,,,,,,18-237.003,04B,,,,,,,,FALSE,FALSE
2026-598,130,21-361.901,07A,,,,,,,,21-284.301,14B,,,,,,,,TRUE,TRUE
2026-597,101,21-363.906,14B,,,,,,,,16-522.902,02B,,,,,,,,FALSE,FALSE
2026-596,10,21-363.906,14B,,,,,,,,17-434.902,03A,,,,,,,,FALSE,FALSE
2026-595,41,21-363.906,14B,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-594,10,21-363.906,14B,,,,,,,,18-194.001,03B,,,,,,,,FALSE,FALSE
2026-593,10,21-363.906,14B,,,,,,,,18-397.905,06A,,,,,,,,FALSE,FALSE
2026-592,24,21-363.906,14B,,,,,,,,19-018.912,05B,,,,,,,,FALSE,FALSE
2026-591,24,21-365.909,07A,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-590,24,21-365.909,07A,,,,,,,,16-522.902,02B,,,,,,,,TRUE,TRUE
2026-589,24,21-365.909,07A,,,,,,,,19-016.903,05A,,,,,,,,TRUE,TRUE
2026-588,24,21-365.909,07A,,,,,,,,19-018.902,05A - 05B,,,,,,,,FALSE,FALSE
2026-587,47,21-365.909,07A,,,,,,,,20-018.901,08A,,,,,,,,FALSE,FALSE
2026-586,24,17-434.902,03A,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-585,31,21-361.901,07A,,,,,,,,22-005.905,13A,,,,,,,,FALSE,FALSE
